1,43,Fixed Loan,-354.24,35.42,2021-09-21,-1365,0.06674,1
2,4,Checking,3468.84,0.00,\N,\N,0.00000,1
3,4,Platinum Credit,-2467.74,246.77,2021-10-06,-3063,0.12772,1
4,8,Fixed Loan,-517.63,51.76,2021-10-10,-763,0.12776,1
5,42,Savings,638.91,0.00,\N,\N,0.00000,1
6,54,Savings,890.49,0.00,\N,\N,0.00000,1
7,1,Basic Credit,-1364.03,136.40,2021-09-28,-1596,0.11437,1
8,9,Checking,4185.30,0.00,\N,\N,0.00000,1
9,1,Savings,734.68,0.00,\N,\N,0.00000,1
10,48,Plus Credit,-1332.70,133.27,2021-09-23,-2152,0.07736,1
11,39,Basic Credit,-1150.04,115.00,2021-09-27,-1995,0.09164,1
12,30,Savings,3502.03,0.00,\N,\N,0.00000,1
13,58,Basic Credit,-694.33,69.43,2021-09-27,-784,0.12841,1
14,27,Fixed Loan,-845.28,84.53,2021-10-08,-1327,0.11351,1
15,51,Fixed Loan,-170.97,17.10,2021-10-14,-3002,0.05463,0
16,44,Savings,3885.95,0.00,\N,\N,0.00000,1
17,3,Platinum Credit,-1638.87,163.89,2021-10-13,-1703,0.05982,1
18,18,Fixed Loan,-1294.24,129.42,2021-09-27,-2474,0.03294,1
19,8,Checking,1183.08,0.00,\N,\N,0.00000,1
20,13,Foodies Credit,-350.91,35.09,2021-10-08,-596,0.05133,1
21,44,Savings,2176.80,0.00,\N,\N,0.00000,1
22,57,Fixed Loan,-1420.22,142.02,2021-10-07,-4071,0.08695,1
23,4,Platinum Credit,-1031.86,103.19,2021-10-06,-2362,0.10170,1
24,7,Plus Credit,-356.61,35.66,2021-09-28,-1168,0.12168,1
25,11,Basic Credit,-305.22,30.52,2021-09-20,-596,0.06593,1
26,44,Basic Credit,-431.64,43.16,2021-10-10,-1197,0.07210,1
27,57,Fixed Loan,-2358.43,235.84,2021-09-24,-2751,0.11720,1
28,30,Basic Credit,-459.72,45.97,2021-10-11,-3917,0.06945,1
garbage data
30,54,Checking,2832.10,0.00,\N,\N,0.00000,0
31,8,Platinum Credit,-1082.05,108.20,2021-10-10,-2038,0.04364,1
32,8,Checking,3640.96,0.00,\N,\N,0.00000,1
33,30,Savings,2406.95,0.00,\N,\N,0.00000,1
34,9,Plus Credit,-116.75,11.68,2021-09-21,-972,0.03805,1
35,40,Savings,587.50,0.00,\N,\N,0.00000,1
36,22,Savings,1174.87,0.00,\N,\N,0.00000,0
37,12,Fixed Loan,-1304.97,130.50,2021-10-14,-3330,0.11282,1
38,38,Basic Credit,-1044.53,104.45,2021-10-09,-2820,0.10302,1
39,31,Savings,3764.98,0.00,\N,\N,0.00000,1
40,9,Savings,903.79,0.00,\N,\N,0.00000,1
41,3,Fixed Loan,-1093.86,109.39,2021-09-30,-2077,0.09388,1
42,5,Fixed Loan,-1833.47,183.35,2021-09-30,-1990,0.03990,1
43,45,Foodies Credit,-118.22,11.82,2021-09-29,-384,0.07697,1
44,8,Basic Credit,-3220.51,322.05,2021-09-30,-3778,0.05967,1
45,31,Savings,2802.57,0.00,\N,\N,0.00000,1
46,36,Basic Credit,-1090.40,109.04,2021-10-17,-3654,0.06614,0
47,21,Platinum Credit,-174.89,17.49,2021-09-22,-614,0.12700,1
48,23,Platinum Credit,-527.30,52.73,2021-10-14,-1070,0.04511,1
49,18,Plus Credit,-1365.35,136.54,2021-10-09,-2444,0.03737,1
50,30,Checking,1983.79,0.00,\N,\N,0.00000,1
51,40,Basic Credit,-409.15,40.91,2021-10-08,-435,0.07507,1
52,7,Platinum Credit,-327.48,32.75,2021-10-08,-1616,0.08502,1
53,10,Fixed Loan,-7.61,0.76,2021-10-13,-239,0.03103,1
54,40,Plus Credit,-1526.50,152.65,2021-10-11,-2066,0.06227,1
55,2,Plus Credit,-1843.63,184.36,2021-09-27,-3030,0.05898,1
56,45,Savings,1307.46,0.00,\N,\N,0.00000,1
57,18,Platinum Credit,-373.23,37.32,2021-09-22,-3541,0.08252,1
58,9,Foodies Credit,-23.03,2.30,2021-10-11,-33,0.09212,1
59,31,Basic Credit,-834.23,83.42,2021-10-10,-2639,0.11848,1
60,20,Plus Credit,-3054.20,305.42,2021-09-22,-3186,0.06381,1
61,8,Fixed Loan,-1017.40,101.74,2021-10-11,-1337,0.07571,1
62,52,Savings,3733.66,0.00,\N,\N,0.00000,1
63,27,Basic Credit,-160.81,16.08,2021-09-23,-632,0.06702,1
64,1,Checking,4095.43,0.00,\N,\N,0.00000,0
65,3,Checking,1962.22,0.00,\N,\N,0.00000,1
66,27,Basic Credit,-170.02,17.00,2021-10-15,-2421,0.03272,1
67,55,Fixed Loan,-2468.31,246.83,2021-10-12,-3936,0.06555,1
68,21,Platinum Credit,-577.84,57.78,2021-10-05,-1736,0.08161,1
69,35,Foodies Credit,-2766.80,276.68,2021-09-28,-2905,0.04758,1
70,23,Foodies Credit,-178.02,17.80,2021-10-05,-484,0.04243,1
71,54,Savings,3095.07,0.00,\N,\N,0.00000,1
72,46,Plus Credit,-1082.07,108.21,2021-10-17,-1336,0.06246,1
73,7,Basic Credit,-351.88,35.19,2021-09-29,-2570,0.04014,1
74,33,Basic Credit,-1577.65,157.77,2021-10-10,-2796,0.12288,1
75,25,Fixed Loan,-886.63,88.66,2021-10-08,-3870,0.03562,1
76,5,Platinum Credit,-2.78,0.28,2021-10-12,-3908,0.10192,1
77,57,Basic Credit,-126.55,12.65,2021-09-23,-560,0.11181,1
78,43,Foodies Credit,-402.93,40.29,2021-10-16,-3882,0.10076,1
79,52,Fixed Loan,-1895.62,189.56,2021-10-17,-1994,0.09514,1
80,25,Platinum Credit,-1300.44,130.04,2021-10-16,-1606,0.08075,1
